group,instances,n_min,n_max,mean_gap,best_gap,max_gap,init_gap,optima_found,mean_runtime,mean_time_to_best,iters_per_sec
n ≤ 50,21,12,50,0.005473453749315818,0.0,0.11494252873563218,6.8147060625802505,21,11.161193630591013,0.5723166400854963,3185.629268027226
51–100,19,54,100,0.10301209869714732,0.02130991611473572,0.41237113402061853,6.606493636352441,17,21.610215881117618,6.065226657033016,979.8860617275175
101–150,3,120,150,0.2987970787208825,0.22928160125518895,0.7093596059113301,5.094665672819815,1,40.40499912239999,25.16452008067087,348.8053228394183
n > 150,2,199,199,2.0639455782312925,0.9025456336380706,3.061224489795918,13.057315233785822,0,59.703806883184,52.645989162597104,286.57003757736953
