instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason,param,value
E-n101-k14,E,100,1,1085,1067.0,1.6869728209934396,14,14,1130,5.904404873477039,994,2.000876958016306,1.9476764580467716,958,2.0,time_limit,time_limit,2.0
E-n101-k14,E,100,2,1085,1067.0,1.6869728209934396,14,14,1128,5.716963448922212,862,2.014435291988775,1.933670875034295,842,2.0,time_limit,time_limit,2.0
E-n101-k14,E,100,3,1077,1067.0,0.9372071227741331,14,14,1132,6.091846298031865,1018,2.000759625050705,1.3168669580481946,677,2.0,time_limit,time_limit,2.0
F-n72-k4,F,71,1,237,237.0,0.0,4,4,250,5.485232067510548,1403,2.00197774998378,0.02239879098488018,15,2.0,time_limit,time_limit,2.0
F-n72-k4,F,71,2,237,237.0,0.0,4,4,264,11.39240506329114,1508,2.003595124988351,0.14955741702578962,93,2.0,time_limit,time_limit,2.0
F-n72-k4,F,71,3,237,237.0,0.0,4,4,264,11.39240506329114,1500,2.000084707979113,0.14946929196594283,118,2.0,time_limit,time_limit,2.0
M-n121-k7,M,120,1,1036,1034.0,0.19342359767891681,7,7,1039,0.4835589941972921,644,2.000352290982846,1.2749849579995498,440,2.0,time_limit,time_limit,2.0
M-n121-k7,M,120,2,1038,1034.0,0.38684719535783363,7,7,1051,1.644100580270793,576,2.0043640000512823,0.5134917499963194,177,2.0,time_limit,time_limit,2.0
M-n121-k7,M,120,3,1037,1034.0,0.2901353965183752,7,7,1049,1.4506769825918762,626,2.0064165419898927,1.3969442090019584,455,2.0,time_limit,time_limit,2.0
M-n200-k17,M,199,1,1321,1275.0,3.607843137254902,17,17,1410,10.588235294117647,543,2.001015166984871,1.7030428749858402,472,2.0,time_limit,time_limit,2.0
M-n200-k17,M,199,2,1321,1275.0,3.607843137254902,17,17,1429,12.07843137254902,482,2.0013141249655746,1.680314666009508,424,2.0,time_limit,time_limit,2.0
M-n200-k17,M,199,3,1309,1275.0,2.6666666666666665,17,17,1370,7.450980392156863,541,2.011791666969657,1.9977809579577297,540,2.0,time_limit,time_limit,2.0
P-n45-k5,P,44,1,510,510.0,0.0,5,5,556,9.019607843137255,2828,2.001201291976031,0.0298239589901641,45,2.0,time_limit,time_limit,2.0
