group,instances,n_min,n_max,mean_gap,best_gap,max_gap,init_gap,optima_found,mean_runtime,mean_time_to_best,iters_per_sec
E,13,12,100,0.11196484625038484,0.018876828692779613,0.41237113402061853,9.116298567802042,12,17.92657055196961,5.40444568783009,1897.5026586748
F,3,44,134,0.017211703958691912,0.0,0.05163511187607574,6.220633284940588,3,25.501463341743996,8.713934375202127,937.6976830086842
M,5,100,199,0.9945294561498313,0.4985872142083416,3.061224489795918,7.813607366145389,1,46.08458190835314,31.72780705176061,361.1163423900241
P,24,15,100,0.025692891780267846,0.006645401382243488,0.1729106628242075,5.574542325997395,23,14.401210932275474,2.2085359236012057,2410.391521721625
