instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason,param,value
P-n45-k5,P,44,5,510,510.0,0.0,5,5,523,2.549019607843137,17530,10.000790624995716,0.060973791987635195,92,10.0,time_limit,baseline,-
P-n65-k10,P,64,1,792,792.0,0.0,10,10,840,6.0606060606060606,10133,10.003580124990549,2.0757104590302333,2098,10.0,time_limit,baseline,-
P-n65-k10,P,64,2,792,792.0,0.0,10,10,837,5.681818181818182,10422,10.000285000016447,0.9295829170150682,974,10.0,time_limit,baseline,-
P-n65-k10,P,64,3,792,792.0,0.0,10,10,833,5.1767676767676765,10281,10.002598957973532,1.5452838749624789,1611,10.0,time_limit,baseline,-
P-n65-k10,P,64,4,792,792.0,0.0,10,10,854,7.828282828282828,10335,10.002798000001349,2.7693146669771522,2917,10.0,time_limit,baseline,-
P-n65-k10,P,64,5,792,792.0,0.0,10,10,852,7.575757575757576,10573,10.001856708026025,3.1432790409890004,3418,10.0,time_limit,baseline,-
P-n101-k4,P,100,1,681,681.0,0.0,4,4,736,8.076358296622614,5340,10.004862291039899,1.0614462080411613,585,10.0,time_limit,baseline,-
P-n101-k4,P,100,2,681,681.0,0.0,4,4,706,3.671071953010279,5071,10.001866375037935,0.7997314580134116,407,10.0,time_limit,baseline,-
P-n101-k4,P,100,3,681,681.0,0.0,4,4,698,2.4963289280469896,5249,10.003850249981042,1.07574466598453,598,10.0,time_limit,baseline,-
P-n101-k4,P,100,4,681,681.0,0.0,4,4,717,5.286343612334802,5193,10.00174929201603,4.486402083013672,2300,10.0,time_limit,baseline,-
P-n101-k4,P,100,5,682,681.0,0.14684287812041116,4,4,735,7.929515418502203,5216,10.000994374975562,1.7222344590118155,811,10.0,time_limit,baseline,-
E-n33-k4,E,32,1,835,835.0,0.0,4,4,876,4.910179640718563,40147,10.000004458997864,0.10824437503470108,460,10.0,time_limit,n_neighbors,8
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,39960,10.000030291033909,0.0500190409948118,179,10.0,time_limit,n_neighbors,8
E-n33-k4,E,32,3,835,835.0,0.0,4,4,867,3.8323353293413174,39612,10.000129499996547,0.06892162497388199,270,10.0,time_limit,n_neighbors,8
E-n33-k4,E,32,4,835,835.0,0.0,4,4,860,2.9940119760479043,38897,10.000137707975227,0.06638562498847023,273,10.0,time_limit,n_neighbors,8
E-n33-k4,E,32,5,835,835.0,0.0,4,4,868,3.9520958083832336,40096,10.000987791048829,0.13895087502896786,589,10.0,time_limit,n_neighbors,8
E-n76-k8,E,75,1,736,735.0,0.1360544217687075,8,8,760,3.401360544217687,13446,10.000735750014428,2.421062499983236,3392,10.0,time_limit,n_neighbors,8
E-n76-k8,E,75,2,736,735.0,0.1360544217687075,8,8,805,9.523809523809524,13524,10.00103158300044,9.871202582959086,13355,10.0,time_limit,n_neighbors,8
E-n76-k8,E,75,3,735,735.0,0.0,8,8,790,7.482993197278912,14009,10.00068795797415,6.029900582972914,8734,10.0,time_limit,n_neighbors,8
E-n76-k8,E,75,4,736,735.0,0.1360544217687075,8,8,778,5.850340136054422,13281,10.000057415978517,3.6430099999997765,4858,10.0,time_limit,n_neighbors,8
E-n76-k8,E,75,5,735,735.0,0.0,8,8,789,7.346938775510204,13323,10.000467917008791,5.795508584007621,8026,10.0,time_limit,n_neighbors,8
E-n101-k14,E,100,1,1080,1067.0,1.218369259606373,14,14,1130,5.904404873477039,8156,10.000951374997385,9.530877291981596,7747,10.0,time_limit,n_neighbors,8
E-n101-k14,E,100,2,1084,1067.0,1.5932521087160263,14,14,1131,5.998125585754452,8164,10.0009821660351,8.196382499998435,6811,10.0,time_limit,n_neighbors,8
E-n101-k14,E,100,3,1079,1067.0,1.1246485473289598,14,14,1132,6.091846298031865,8042,10.003026790975127,8.469377125031315,6799,10.0,time_limit,n_neighbors,8
