instance,set,n_customers,optimal,k_reference,seeds,best_cost,mean_cost,best_gap,mean_gap,worst_gap,std_gap,init_gap,mean_runtime,mean_time_to_best,mean_iterations,iters_per_sec,n_routes,solved_to_optimum
P-n22-k2,P,21,216.0,2,5,216.0,216.0,0.0,0.0,0.0,0.0,6.018518518518518,9.514857491804287,0.004200291796587407,30009.2,3155.32892693519,2,1
P-n22-k8,P,21,603.0,8,5,603.0,603.0,0.0,0.0,0.0,0.0,5.671641791044776,5.6218070750008335,0.005775824992451817,30024.4,5342.731382823839,8,1
P-n23-k8,P,22,529.0,8,5,529.0,529.0,0.0,0.0,0.0,0.0,0.45368620037807184,4.04478135840036,0.005294066795613617,30031.4,7428.8970155441075,8,1
P-n40-k5,P,39,458.0,5,5,458.0,458.0,0.0,0.0,0.0,0.0,8.73362445414847,15.034588558401447,0.031166933209169655,25292.0,1682.2455210694557,5,1
P-n45-k5,P,44,510.0,5,5,510.0,510.0,0.0,0.0,0.0,0.0,6.862745098039216,15.00143313339213,0.11662475841585547,22308.2,1487.0705934796754,5,1
P-n50-k10,P,49,696.0,10,5,696.0,696.8,0.0,0.11494252873563218,0.14367816091954022,0.05747126436781609,4.396551724137931,15.000319507997483,5.296267141401768,25918.8,1727.8832046732882,10,1
P-n50-k7,P,49,554.0,7,5,554.0,554.0,0.0,0.0,0.0,0.0,5.55956678700361,15.000394758186303,1.3999416415812447,21828.0,1455.1613671857124,7,1
P-n50-k8,P,49,631.0,8,5,631.0,631.0,0.0,0.0,0.0,0.0,0.0,12.260735691618175,0.0,30000.0,2446.9372694111066,8,1
P-n51-k10,P,50,741.0,10,5,741.0,741.0,0.0,0.0,0.0,0.0,8.15114709851552,15.000484383187722,2.8923532163957133,26266.4,1751.0371888825848,10,1
P-n55-k10,P,54,694.0,10,5,694.0,695.2,0.0,0.1729106628242075,0.2881844380403458,0.1411809650019123,5.21613832853026,16.200445108208804,2.2777580582071097,18777.2,1159.0542528062417,10,1
P-n55-k15,P,54,989.0,15,5,989.0,989.0,0.0,0.0,0.0,0.0,0.0,10.365798858203926,0.0,30000.0,2896.2637106623633,15,1
P-n55-k7,P,54,568.0,7,5,568.0,568.0,0.0,0.0,0.0,0.0,5.73943661971831,16.200707425002474,3.03484499999322,17129.6,1057.3368746746123,7,1
P-n55-k8,P,54,588.0,8,5,588.0,588.0,0.0,0.0,0.0,0.0,5.442176870748299,16.20131439201068,0.48833015041891487,17608.8,1086.875058913253,8,1
P-n60-k10,P,59,744.0,10,5,744.0,744.0,0.0,0.0,0.0,0.0,6.263440860215054,17.705279866594356,3.9592687166063114,21422.2,1209.9345637026825,10,1
P-n60-k15,P,59,968.0,15,5,968.0,968.0,0.0,0.0,0.0,0.0,4.524793388429752,17.700529666407967,4.717142558202613,25580.6,1445.1887169555675,15,1
P-n65-k10,P,64,792.0,10,5,792.0,792.0,0.0,0.0,0.0,0.0,6.4646464646464645,19.201798916584814,2.94218049159972,19807.0,1031.51705474095,10,1
P-n70-k10,P,69,827.0,10,5,827.0,828.4,0.0,0.16928657799274488,0.36275695284159615,0.12331365208205043,7.787182587666264,20.701162783405742,7.89894285001792,22598.2,1091.639797687646,10,1
P-n76-k4,P,75,593.0,4,5,593.0,593.0,0.0,0.0,0.0,0.0,8.836424957841484,22.50120625818381,5.939506483182777,15928.0,707.8735144321946,4,1
P-n76-k5,P,75,627.0,5,5,628.0,628.0,0.1594896331738437,0.1594896331738437,0.1594896331738437,0.0,7.145135566188198,22.50033586660866,5.401742641802412,16733.0,743.6777004127965,5,0
P-n101-k4,P,100,681.0,4,5,681.0,681.0,0.0,0.0,0.0,0.0,5.433186490455213,30.002025683410466,6.561738225212321,14127.0,470.8683253973579,4,1
